basic_gt,basic_pred,sub_gt,sub_pred,fine_gt,fine_pred
4,4,15,15,27,27
4,4,15,15,27,27
4,4,15,15,27,24
4,4,15,15,27,27
4,4,15,15,27,27
4,4,15,15,27,27
4,4,15,15,27,27
4,4,15,15,27,27
4,4,15,15,27,27
4,4,15,15,27,27
4,4,15,15,27,27
4,4,15,15,27,28
4,4,15,15,27,27
4,4,15,15,27,27
4,4,15,15,27,27
4,4,15,15,27,27
4,4,15,15,27,28
4,4,15,15,27,27
4,4,15,15,27,28
4,4,15,19,27,33
4,4,15,15,27,27
4,4,15,15,27,27
4,4,15,15,27,27
4,4,15,15,27,28
4,4,15,15,27,29
4,4,15,15,27,27
4,4,15,15,27,28
4,4,15,15,27,27
4,4,15,15,27,27
4,4,15,15,28,27
4,4,15,15,28,29
4,4,15,15,28,24
4,4,15,15,28,29
4,4,15,15,28,26
4,4,15,15,28,29
4,4,15,15,28,24
4,4,15,15,28,25
4,4,15,15,28,27
4,4,15,15,28,28
4,4,15,15,28,28
4,4,15,15,28,28
4,4,15,15,28,29
4,4,15,15,28,28
4,4,15,15,28,27
4,4,15,15,28,27
4,4,15,15,28,28
4,4,15,15,28,24
4,4,15,15,28,29
4,4,15,15,28,28
4,4,15,15,28,25
4,4,15,15,28,28
4,4,15,15,28,27
4,4,15,15,28,24
4,4,15,15,28,26
4,4,15,15,28,27
4,4,15,15,28,28
4,4,15,18,28,38
4,4,15,15,28,25
4,4,15,15,28,28
4,4,15,15,28,28
4,4,15,15,28,28
4,4,15,15,28,37
4,4,15,15,29,28
4,4,15,15,29,29
4,4,15,15,29,29
4,0,15,2,29,4
4,4,15,15,29,28
4,4,15,15,29,30
4,4,15,15,29,24
4,4,15,15,29,29
4,4,15,15,29,24
4,4,15,15,29,38
4,4,15,15,29,28
4,4,15,15,29,30
4,4,15,15,29,30
4,4,15,15,29,29
4,4,15,15,29,5
4,4,15,15,29,29
4,4,15,15,29,29
4,4,15,15,29,29
4,4,15,15,29,29
4,14,15,40,29,66
4,4,15,15,29,30
4,4,15,15,29,24
4,4,15,2,29,29
4,4,15,15,29,28
4,4,15,15,29,29
4,4,15,15,29,28
4,4,15,15,29,29
4,4,15,15,29,29
4,4,15,15,29,27
4,4,15,15,29,30
4,4,15,15,29,28
4,4,15,15,29,25
4,4,15,2,29,88
4,4,15,15,29,29
4,4,15,15,30,30
4,4,15,15,30,29
4,4,15,15,30,38
4,4,15,15,30,30
4,4,15,15,30,30
4,4,15,15,30,30
4,4,15,15,30,30
4,4,15,15,30,30
4,0,15,15,30,11
4,4,15,15,30,30
4,4,15,15,30,30
4,4,15,15,30,30
4,4,15,15,30,29
4,4,15,15,30,24
4,4,15,15,30,30
4,4,15,15,30,24
4,4,15,15,30,29
4,4,15,15,30,30
4,4,15,15,30,30
4,4,15,15,30,30
4,4,15,15,30,29
4,4,15,15,30,30
4,4,15,15,30,30
4,4,15,15,30,30
4,4,15,15,30,30
4,4,15,15,30,30
4,4,15,15,30,30
4,4,15,15,30,30
4,4,15,15,30,30
4,4,15,15,30,28
4,4,15,15,30,30
4,4,15,15,30,29
4,4,15,15,30,29
4,4,16,16,31,32
4,4,16,16,31,31
4,4,16,16,31,31
4,4,16,16,31,31
4,4,16,16,31,31
4,4,16,16,31,31
4,4,16,16,31,33
4,4,16,16,31,34
4,4,16,16,31,31
4,4,16,16,31,31
4,4,16,16,31,33
4,4,16,16,31,32
4,4,16,16,31,32
4,4,16,16,31,31
4,4,16,16,31,31
4,4,16,16,31,31
4,20,16,20,31,85
4,4,16,56,31,85
4,4,16,16,31,34
4,4,16,16,31,32
4,4,16,16,31,33
4,4,16,16,31,34
4,4,16,16,31,31
4,4,16,16,31,32
4,4,16,16,31,32
4,4,16,4,31,88
4,4,16,18,31,37
4,4,16,16,31,31
4,4,16,16,31,31
4,4,16,16,31,33
4,4,16,16,31,31
4,20,16,56,31,85
4,4,16,16,31,31
4,4,16,16,32,32
4,4,16,16,32,33
4,4,16,16,32,33
4,4,16,16,32,33
4,4,16,16,32,31
4,22,16,16,32,32
4,4,16,16,32,32
4,4,16,16,32,34
4,4,16,16,32,31
4,4,16,16,32,33
4,4,16,16,32,32
4,4,16,16,32,32
4,4,16,16,32,31
4,4,16,16,32,32
4,4,16,16,32,33
4,4,16,16,32,31
4,4,16,16,32,34
4,4,16,16,32,33
4,4,16,39,32,37
4,4,16,16,32,32
4,4,16,16,32,33
4,4,16,16,32,31
4,4,16,16,32,31
4,4,16,16,32,33
4,4,16,16,32,12
4,4,16,16,32,34
4,4,16,16,32,32
4,4,16,16,32,31
4,4,16,16,32,33
4,4,16,58,32,7
4,4,16,16,32,34
4,4,16,16,32,31
4,4,16,12,32,20
4,4,16,16,32,33
4,4,16,16,33,31
4,4,16,16,33,31
4,4,16,16,33,31
4,4,16,16,33,34
4,4,16,16,33,32
4,4,16,16,33,33
4,4,16,16,33,33
4,4,16,16,33,31
4,4,16,16,33,33
4,4,16,16,33,33
4,4,16,16,33,34
4,4,16,16,33,32
4,4,16,16,33,33
4,4,16,19,33,41
4,4,16,16,33,31
4,4,16,16,33,33
4,4,16,16,33,33
4,4,16,16,33,32
4,4,16,16,33,34
4,4,16,16,33,34
4,4,16,16,33,33
4,4,16,16,33,33
4,4,16,16,33,31
4,4,16,16,33,33
4,4,16,31,33,56
4,4,16,16,33,33
4,4,16,2,33,3
4,4,16,16,33,31
4,4,16,16,33,33
4,4,16,16,33,33
4,4,16,16,33,31
4,4,16,16,33,31
4,4,16,16,33,31
4,4,16,16,34,32
4,4,16,18,34,34
4,4,16,16,34,31
4,4,16,16,34,33
4,4,16,16,34,32
4,4,16,16,34,33
4,4,16,16,34,34
4,4,16,16,34,33
4,4,16,16,34,31
4,4,16,16,34,34
4,4,16,16,34,34
4,4,16,16,34,33
4,4,16,16,34,34
4,4,16,16,34,32
4,4,16,16,34,32
4,4,16,16,34,31
4,4,16,16,34,32
4,4,16,16,34,34
4,4,16,16,34,33
4,4,16,16,34,33
4,4,16,16,34,34
4,4,16,16,34,32
4,4,16,16,34,32
4,4,16,16,34,33
4,4,16,18,34,27
4,4,16,16,34,34
4,4,16,16,34,34
4,4,16,16,34,34
4,4,16,16,34,34
4,4,16,16,34,31
4,4,16,16,34,34
4,0,16,16,34,33
4,4,16,16,34,34
4,4,17,17,35,35
4,4,17,17,35,36
4,4,17,17,35,35
4,0,17,2,35,5
4,4,17,17,35,35
4,4,17,17,35,36
4,0,17,3,35,7
4,0,17,17,35,35
4,4,17,17,35,35
4,0,17,17,35,36
4,4,17,17,35,36
4,4,17,17,35,35
4,4,17,56,35,54
4,4,17,17,35,35
4,0,17,0,35,0
4,4,17,17,35,36
4,4,17,18,35,38
4,13,17,8,35,15
4,22,17,9,35,20
4,0,17,17,35,35
4,4,17,17,35,35
4,4,17,17,35,35
4,4,17,17,35,36
4,0,17,3,35,6
4,4,17,17,35,36
4,4,17,17,35,35
4,4,17,17,35,35
4,0,17,2,35,4
4,4,17,18,35,40
4,4,17,17,35,35
4,4,17,18,35,37
4,4,17,56,35,85
4,4,17,17,35,35
4,4,17,17,35,35
4,0,17,17,36,36
4,4,17,17,36,5
4,4,17,17,36,5
4,4,17,17,36,36
4,4,17,17,36,36
4,4,17,17,36,36
4,4,17,17,36,36
4,4,17,17,36,36
4,4,17,17,36,36
4,4,17,17,36,36
4,4,17,17,36,36
4,0,17,17,36,36
4,4,17,17,36,36
4,4,17,17,36,36
4,4,17,18,36,39
4,4,17,17,36,36
4,4,17,17,36,36
4,4,17,17,36,35
4,4,17,17,36,35
4,4,17,17,36,36
4,4,17,17,36,36
4,4,17,17,36,36
4,4,17,17,36,36
4,4,17,17,36,36
4,4,17,17,36,36
4,4,17,17,36,36
4,0,17,17,36,0
4,4,17,17,36,36
4,4,17,19,36,41
4,4,17,17,36,36
4,4,17,17,36,36
4,4,17,17,36,36
4,4,17,17,36,36
4,4,18,18,37,38
4,4,18,18,37,37
4,4,18,18,37,38
4,4,18,18,37,38
4,4,18,18,37,37
4,4,18,1,37,35
4,4,18,18,37,37
4,4,18,15,37,25
4,4,18,18,37,38
4,4,18,18,37,37
4,4,18,17,37,37
4,4,18,18,37,37
4,4,18,18,37,39
4,4,18,18,37,37
4,4,18,18,37,37
4,4,18,18,37,38
4,4,18,18,37,37
4,20,18,56,37,85
4,4,18,18,37,38
4,4,18,39,37,35
4,4,18,18,37,38
4,4,18,19,37,41
4,4,18,18,37,38
4,4,18,18,37,37
4,4,18,18,37,37
4,4,18,18,37,37
4,4,18,18,37,37
4,4,18,18,37,37
4,4,18,18,37,37
4,4,18,18,37,38
4,4,18,18,37,37
4,0,18,16,37,1
4,4,18,18,37,37
4,22,18,33,38,86
4,4,18,18,38,9
4,4,18,18,38,38
4,4,18,18,38,38
4,4,18,18,38,38
4,4,18,18,38,37
4,4,18,18,38,40
4,4,18,18,38,35
4,4,18,18,38,38
4,4,18,18,38,38
4,4,18,18,38,37
4,4,18,18,38,37
4,4,18,18,38,37
4,4,18,18,38,38
4,4,18,18,38,38
4,4,18,18,38,37
4,4,18,18,38,37
4,4,18,18,38,37
4,4,18,18,38,37
4,4,18,18,38,37
4,4,18,18,38,38
4,4,18,18,38,37
4,4,18,18,38,38
4,4,18,18,38,38
4,4,18,18,38,37
4,4,18,18,38,37
4,4,18,18,38,38
4,4,18,57,38,86
4,4,18,17,38,37
4,4,18,18,38,38
4,4,18,18,38,37
4,4,18,18,38,38
4,4,18,18,38,37
4,4,18,18,38,39
4,4,18,18,39,39
4,4,18,18,39,39
4,4,18,18,39,39
4,4,18,18,39,39
4,4,18,18,39,39
4,4,18,18,39,39
4,4,18,18,39,39
4,4,18,18,39,38
4,4,18,18,39,39
4,4,18,18,39,39
4,4,18,18,39,39
4,4,18,19,39,40
4,4,18,18,39,39
4,4,18,18,39,39
4,4,18,18,39,39
4,4,18,18,39,38
4,4,18,18,39,39
4,4,18,18,39,39
4,4,18,18,39,39
4,4,18,18,39,37
4,4,18,18,39,39
4,4,18,18,39,39
4,4,18,18,39,39
4,4,18,18,39,39
4,4,18,15,39,27
4,4,18,18,39,39
4,4,18,18,39,39
4,4,18,18,39,39
4,4,18,18,39,39
4,4,18,18,39,39
4,4,18,18,39,39
4,4,18,18,39,39
4,4,18,19,39,40
4,4,19,19,40,35
4,4,19,32,40,20
4,4,19,19,40,40
4,4,19,19,40,40
4,4,19,19,40,41
4,4,19,18,40,37
4,4,19,19,40,41
4,4,19,19,40,40
4,4,19,19,40,40
4,4,19,19,40,40
4,4,19,19,40,41
4,4,19,19,40,40
4,4,19,19,40,40
4,4,19,19,40,40
4,4,19,19,40,40
4,4,19,19,40,38
4,4,19,19,40,40
4,4,19,19,40,40
4,0,19,19,40,41
4,4,19,18,40,39
4,4,19,19,40,41
4,4,19,19,40,40
4,4,19,17,40,64
4,4,19,19,40,41
4,4,19,19,40,40
4,4,19,18,40,39
4,4,19,19,40,40
4,6,19,4,40,15
4,4,19,19,40,41
4,4,19,19,40,40
4,4,19,19,40,40
4,4,19,17,40,24
4,4,19,18,40,38
4,4,19,19,41,40
4,4,19,19,41,41
4,4,19,19,41,41
4,4,19,19,41,41
4,4,19,19,41,41
4,4,19,19,41,41
4,4,19,19,41,41
4,4,19,19,41,40
4,4,19,19,41,41
4,4,19,19,41,41
4,4,19,19,41,41
4,4,19,19,41,40
4,4,19,19,41,41
4,4,19,19,41,41
4,4,19,19,41,41
4,4,19,19,41,40
4,4,19,19,41,40
4,4,19,19,41,41
4,4,19,19,41,40
4,4,19,19,41,41
4,4,19,19,41,41
4,4,19,19,41,41
4,4,19,19,41,40
4,4,19,19,41,41
4,4,19,19,41,40
4,4,19,19,41,41
4,4,19,19,41,11
4,4,19,18,41,38
4,4,19,19,41,40
4,4,19,19,41,41
4,4,19,19,41,41
4,4,19,19,41,41
4,4,19,19,41,40
4,4,19,19,41,40
0,0,0,1,0,1
0,0,0,0,0,0
0,0,0,1,0,0
0,0,0,18,0,0
0,0,0,1,0,1
0,0,0,0,0,0
0,0,0,4,0,11
0,4,0,18,0,35
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,3,0,6
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,1
0,4,0,0,0,0
0,0,0,1,0,85
0,0,0,1,0,1
0,4,0,18,0,38
0,0,0,1,0,1
0,0,0,0,0,0
0,0,0,56,0,85
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,0,1
0,0,0,0,0,0
0,0,0,4,0,51
0,0,0,0,0,0
0,20,0,56,0,85
0,0,0,0,0,0
0,0,1,0,1,0
0,0,1,0,1,0
0,0,1,1,1,1
0,0,1,1,1,1
0,4,1,0,1,0
0,4,1,18,1,38
0,4,1,17,1,35
0,0,1,1,1,1
0,0,1,1,1,1
0,0,1,1,1,1
0,4,1,18,1,1
0,0,1,17,1,1
0,0,1,1,1,1
0,0,1,1,1,1
0,0,1,1,1,1
0,4,1,18,1,38
0,0,1,1,1,1
0,0,1,0,1,0
0,0,1,1,1,1
0,0,1,1,1,1
0,0,1,1,1,1
0,0,1,1,1,1
0,0,1,1,1,1
0,0,1,1,1,1
0,0,1,1,1,0
0,0,1,1,1,1
0,0,1,0,1,0
0,0,1,1,1,1
0,0,1,1,1,1
0,0,1,1,1,1
0,0,1,1,1,0
0,4,1,19,1,40
0,0,1,0,1,1
0,0,2,2,2,4
0,0,2,2,2,3
0,0,2,2,2,3
0,0,2,2,2,3
0,0,2,2,2,2
0,0,2,2,2,3
0,0,2,2,2,2
0,0,2,2,2,2
0,0,2,2,2,2
0,0,2,2,2,2
0,0,2,2,2,5
0,0,2,2,2,2
0,0,2,2,2,2
0,0,2,2,2,2
0,0,2,2,2,2
0,0,2,2,2,2
0,0,2,2,2,2
0,0,2,2,2,2
0,0,2,2,2,3
0,0,2,2,2,2
0,0,2,2,2,2
0,0,2,2,2,2
0,0,2,2,2,2
0,0,2,2,2,2
0,0,2,2,2,2
0,0,2,2,2,2
0,0,2,2,2,2
0,0,2,2,2,2
0,0,2,2,2,2
0,0,2,2,2,2
0,0,2,2,2,3
0,0,2,2,2,2
0,0,2,2,2,2
0,0,2,2,2,2
0,0,2,2,3,3
0,0,2,2,3,4
0,0,2,2,3,4
0,0,2,2,3,3
0,0,2,2,3,3
0,0,2,2,3,4
0,0,2,2,3,4
0,0,2,2,3,3
0,0,2,2,3,3
0,0,2,1,3,1
0,0,2,2,3,3
0,0,2,2,3,2
0,0,2,2,3,3
0,0,2,2,3,4
0,0,2,2,3,10
0,0,2,2,3,5
0,0,2,2,3,4
0,0,2,2,3,3
0,0,2,2,3,3
0,0,2,2,3,2
0,0,2,2,3,4
0,0,2,2,3,3
0,0,2,2,3,3
0,0,2,2,3,3
0,0,2,2,3,5
0,0,2,2,3,4
0,0,2,2,3,3
0,0,2,2,3,4
0,0,2,2,3,3
0,0,2,2,3,2
0,0,2,2,3,4
0,0,2,2,3,4
0,0,2,2,3,5
0,0,2,2,4,4
0,0,2,2,4,3
0,4,2,13,4,21
0,0,2,4,4,0
0,0,2,2,4,3
0,0,2,2,4,4
0,0,2,2,4,4
0,0,2,2,4,5
0,0,2,2,4,3
0,0,2,1,4,37
0,4,2,17,4,35
0,0,2,2,4,3
0,0,2,2,4,5
0,0,2,2,4,3
0,0,2,2,4,3
0,0,2,2,4,4
0,0,2,2,4,4
0,14,2,39,4,65
0,0,2,2,4,4
0,0,2,2,4,4
0,0,2,2,4,3
0,0,2,2,4,4
0,26,2,63,4,29
0,0,2,2,4,5
0,0,2,2,4,3
0,0,2,2,4,36
0,0,2,2,4,4
0,0,2,2,4,4
0,0,2,2,4,4
0,0,2,2,4,1
0,0,2,4,4,1
0,0,2,2,4,4
0,0,2,2,4,4
0,14,2,40,5,65
0,0,2,2,5,5
0,0,2,2,5,5
0,4,2,2,5,29
0,0,2,2,5,4
0,0,2,2,5,5
0,0,2,2,5,4
0,0,2,2,5,5
0,0,2,2,5,5
0,0,2,2,5,5
0,0,2,2,5,5
0,0,2,2,5,4
0,0,2,2,5,5
0,0,2,17,5,35
0,0,2,2,5,5
0,0,2,2,5,5
0,0,2,2,5,1
0,0,2,2,5,4
0,0,2,2,5,5
0,0,2,2,5,5
0,0,2,2,5,5
0,0,2,2,5,5
0,0,2,2,5,5
0,0,2,2,5,5
0,0,2,2,5,5
0,0,2,2,5,36
0,0,2,2,5,5
0,0,2,2,5,5
0,0,2,2,5,5
0,0,2,3,5,5
0,8,2,8,5,10
0,4,2,18,5,38
0,4,2,15,5,38
0,0,2,2,5,3
0,0,3,0,6,7
0,0,3,3,6,35
0,0,3,3,6,6
0,0,3,3,6,6
0,0,3,3,6,6
0,0,3,3,6,6
0,0,3,4,6,10
0,0,3,4,6,7
0,0,3,3,6,7
0,0,3,3,6,6
0,4,3,16,6,34
0,0,3,3,6,7
0,0,3,4,6,8
0,0,3,3,6,6
0,0,3,3,6,7
0,0,3,3,6,7
0,0,3,3,6,0
0,0,3,3,6,6
0,0,3,3,6,7
0,0,3,3,6,6
0,0,3,3,6,7
0,0,3,3,6,6
0,0,3,3,6,7
0,0,3,0,6,0
0,0,3,3,6,7
0,0,3,3,6,6
0,4,3,18,6,39
0,0,3,3,6,6
0,0,3,3,6,6
0,0,3,3,6,6
0,22,3,4,6,86
0,0,3,3,6,7
0,0,3,1,6,1
0,0,3,3,7,6
0,0,3,3,7,7
0,0,3,0,7,0
0,0,3,3,7,7
0,0,3,1,7,1
0,0,3,3,7,6
0,0,3,3,7,6
0,0,3,1,7,1
0,0,3,3,7,6
0,0,3,15,7,11
0,0,3,3,7,6
0,0,3,3,7,7
0,0,3,3,7,7
0,0,3,3,7,6
0,13,3,40,7,51
0,4,3,3,7,7
0,0,3,3,7,7
0,0,3,3,7,7
0,0,3,3,7,7
0,0,3,3,7,7
0,0,3,3,7,6
0,0,3,3,7,6
0,0,3,3,7,7
0,4,3,1,7,38
0,0,3,3,7,6
0,0,3,2,7,0
0,0,3,3,7,7
0,0,3,3,7,6
0,0,3,3,7,6
0,0,3,3,7,6
0,0,3,3,7,7
0,0,3,3,7,6
0,0,3,0,7,0
0,0,4,4,8,9
0,0,4,4,8,8
0,0,4,4,8,8
0,0,4,4,8,9
0,0,4,4,8,8
0,0,4,4,8,9
0,0,4,4,8,8
0,0,4,4,8,8
0,0,4,4,8,8
0,0,4,4,8,8
0,0,4,4,8,9
0,0,4,4,8,9
0,0,4,4,8,8
0,0,4,4,8,8
0,0,4,4,8,9
0,0,4,4,8,8
0,0,4,17,8,36
0,0,4,4,8,8
0,0,4,4,8,9
0,0,4,4,8,8
0,0,4,4,8,8
0,0,4,4,8,8
0,0,4,4,8,9
0,0,4,4,8,9
0,0,4,4,8,9
0,0,4,4,8,8
0,0,4,4,8,9
0,0,4,4,8,8
0,0,4,4,8,9
0,0,4,4,8,8
0,0,4,4,8,9
0,0,4,3,8,7
0,0,4,4,8,9
0,0,4,4,8,8
0,0,4,4,9,11
0,0,4,4,9,11
0,0,4,4,9,9
0,0,4,4,9,8
0,0,4,4,9,8
0,0,4,4,9,9
0,0,4,4,9,9
0,0,4,4,9,6
0,0,4,4,9,9
0,0,4,4,9,10
0,4,4,16,9,32
0,0,4,4,9,8
0,0,4,4,9,9
0,0,4,4,9,9
0,0,4,4,9,9
0,0,4,3,9,6
0,4,4,19,9,40
0,0,4,4,9,9
0,0,4,4,9,9
0,0,4,4,9,9
0,0,4,4,9,9
0,0,4,4,9,8
0,0,4,4,9,11
0,0,4,4,9,9
0,0,4,4,9,0
0,4,4,4,9,41
0,0,4,4,9,9
0,0,4,4,9,9
0,0,4,4,9,9
0,0,4,4,9,9
0,0,4,4,9,8
0,0,4,4,9,9
0,0,4,4,9,9
0,0,4,4,10,10
0,0,4,4,10,10
0,0,4,4,10,10
0,0,4,4,10,10
0,0,4,4,10,10
0,0,4,4,10,10
0,0,4,4,10,10
0,0,4,4,10,10
0,0,4,4,10,10
0,0,4,4,10,10
0,0,4,4,10,10
0,4,4,16,10,34
0,0,4,4,10,8
0,0,4,4,10,10
0,0,4,4,10,10
0,0,4,4,10,11
0,0,4,4,10,10
0,0,4,4,10,11
0,0,4,4,10,10
0,0,4,4,10,10
0,0,4,4,10,10
0,0,4,4,10,10
0,0,4,4,10,10
0,0,4,4,10,10
0,0,4,4,10,10
0,0,4,4,10,10
0,0,4,4,10,10
0,0,4,4,10,10
0,0,4,4,10,6
0,4,4,16,10,34
0,0,4,4,10,10
0,0,4,4,10,11
0,0,4,4,10,10
0,0,4,4,11,11
0,0,4,4,11,11
0,0,4,4,11,10
0,0,4,4,11,11
0,0,4,2,11,93
0,0,4,4,11,11
0,0,4,4,11,11
0,4,4,4,11,10
0,0,4,4,11,11
0,0,4,4,11,10
0,0,4,4,11,11
0,0,4,4,11,11
0,0,4,4,11,10
0,0,4,4,11,11
0,0,4,4,11,11
0,0,4,4,11,11
0,0,4,4,11,11
0,0,4,4,11,38
0,0,4,4,11,11
0,0,4,4,11,11
0,0,4,4,11,11
0,0,4,4,11,11
0,0,4,4,11,11
0,4,4,19,11,10
0,0,4,4,11,11
0,0,4,4,11,11
0,0,4,4,11,11
0,0,4,4,11,11
0,0,4,4,11,11
0,0,4,4,11,11
0,13,4,32,11,57
0,0,4,4,11,11
0,0,4,4,11,11
0,0,4,4,11,11
0,0,5,5,12,12
0,4,5,16,12,33
0,0,5,5,12,12
0,0,5,5,12,12
0,0,5,5,12,12
0,0,5,5,12,12
0,0,5,5,12,12
0,0,5,5,12,12
0,0,5,5,12,12
0,0,5,5,12,12
0,4,5,5,12,34
0,4,5,5,12,12
0,0,5,5,12,12
0,0,5,5,12,12
0,0,5,5,12,12
0,0,5,5,12,12
0,0,5,5,12,12
0,4,5,5,12,12
0,0,5,5,12,12
0,4,5,59,12,89
0,3,5,4,12,8
0,0,5,5,12,12
0,4,5,17,12,37
0,0,5,5,12,12
0,14,5,2,12,5
0,4,5,16,12,7
0,4,5,5,12,9
0,0,5,5,12,12
0,0,5,5,12,12
0,11,5,5,12,12
0,4,5,19,12,41
0,0,5,5,12,12
0,0,5,5,12,12
2,2,7,8,14,15
2,2,7,7,14,14
2,2,7,7,14,14
2,2,7,7,14,14
2,2,7,7,14,14
2,2,7,8,14,15
2,2,7,8,14,15
2,2,7,7,14,14
2,2,7,7,14,14
2,2,7,7,14,14
2,11,7,49,14,77
2,2,7,7,14,14
2,2,7,7,14,14
2,2,7,7,14,14
2,2,7,7,14,14
2,2,7,7,14,14
2,2,7,7,14,14
2,2,7,7,14,14
2,2,7,7,14,14
2,2,7,8,14,15
2,2,7,7,14,14
2,2,7,7,14,14
2,2,7,8,14,15
2,2,7,7,14,14
2,2,7,7,14,14
2,2,7,7,14,14
2,2,7,7,14,14
